"","category","current","height","name","city","state","latitude","longitude","abandoned","is.completed","completed.year","air.traffic.control.tower","belltower","bridge","casino","commercial","education","exhibition","floors.above","government","hospital","hotel","industrial","library","museum","observation","office","other","rank","religious","residential","retail","serviced.apartments","telecommunications"
"71","Las Vegas","completed",350.2200012,"Stratosphere Tower","Las Vegas","Nevada",36.1473999,-115.1554337,FALSE,TRUE,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE
"183","Las Vegas","completed",195.6799927,"The Palazzo","Las Vegas","Nevada",36.12393188,-115.1679001,FALSE,TRUE,2007,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,263,FALSE,FALSE,FALSE,FALSE,FALSE
"198","Las Vegas","completed",192.3300018,"Encore","Las Vegas","Nevada",36.12950134,-115.1648636,FALSE,TRUE,2008,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,282,FALSE,FALSE,FALSE,FALSE,FALSE
"214","Las Vegas","completed",189.5899963,"Trump International Hotel & Tower 1","Las Vegas","Nevada",36.12963104,-115.1727829,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,FALSE,TRUE,FALSE,FALSE,FALSE
"224","Las Vegas","completed",187.1499939,"Wynn Las Vegas","Las Vegas","Nevada",36.12675858,-115.1655579,FALSE,TRUE,2005,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,312,FALSE,FALSE,FALSE,FALSE,FALSE
"240","Las Vegas","completed",183.9499969,"Cosmopolitan Casino Spa Tower","Las Vegas","Nevada",36.1099205,-115.1764908,FALSE,TRUE,2010,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,329,FALSE,FALSE,FALSE,FALSE,FALSE
"241","Las Vegas","completed",183.9499969,"Cosmopolitan Casino Beach Club Tower","Las Vegas","Nevada",36.11026001,-115.1742477,FALSE,TRUE,2010,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,50,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,330,FALSE,FALSE,FALSE,FALSE,FALSE
"255","Las Vegas","completed",182.8800049,"Aria Resort & Casino","Las Vegas","Nevada",36.10778046,-115.1771393,FALSE,TRUE,2009,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,345,FALSE,FALSE,FALSE,FALSE,FALSE
"261","Las Vegas","completed",182,"Planet Hollywood Towers","Las Vegas","Nevada",36.10897827,-115.1687164,FALSE,TRUE,2009,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,50,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,355,FALSE,FALSE,FALSE,FALSE,FALSE
"350","Las Vegas","completed",169.4700012,"VDARA","Las Vegas","Nevada",36.10958862,-115.1783676,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,452,FALSE,FALSE,FALSE,FALSE,FALSE
"14","Los Angeles","completed",310.2900085,"U.S. Bank Tower","Los Angeles","California",34.05104065,-118.2543564,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38,FALSE,FALSE,FALSE,FALSE,FALSE
"39","Los Angeles","completed",261.519989,"Aon Center","Los Angeles","California",34.04922867,-118.2568665,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,74,FALSE,FALSE,FALSE,FALSE,FALSE
"80","Los Angeles","completed",228.6000061,"Two California Plaza","Los Angeles","California",34.05144119,-118.2515335,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,129,FALSE,FALSE,FALSE,FALSE,FALSE
"85","Los Angeles","completed",228.3000031,"Gas Company Tower","Los Angeles","California",34.05007935,-118.2531891,FALSE,TRUE,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,133,FALSE,FALSE,FALSE,FALSE,FALSE
"98","Los Angeles","completed",224.0299988,"Bank of America Plaza","Los Angeles","California",34.0536499,-118.2532196,FALSE,TRUE,1975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,148,FALSE,FALSE,FALSE,FALSE,FALSE
"105","Los Angeles","completed",221,"777 Tower","Los Angeles","California",34.04850006,-118.2613983,FALSE,TRUE,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,FALSE,FALSE,FALSE,FALSE,FALSE
"108","Los Angeles","completed",220.3699951,"Wells Fargo Tower","Los Angeles","California",34.05295944,-118.2517319,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,161,FALSE,FALSE,FALSE,FALSE,FALSE
"112","Los Angeles","completed",218.5399933,"Figueroa at Wilshire","Los Angeles","California",34.05073166,-118.2594299,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,165,FALSE,FALSE,FALSE,FALSE,FALSE
"122","Los Angeles","completed",213.0599976,"City National Tower","Los Angeles","California",34.05078125,-118.2577133,FALSE,TRUE,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,181,FALSE,FALSE,FALSE,FALSE,FALSE
"123","Los Angeles","completed",213.0599976,"Paul Hastings Tower","Los Angeles","California",34.05157089,-118.2570114,FALSE,TRUE,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,181,FALSE,FALSE,FALSE,FALSE,FALSE
"58","Miami","completed",240.4100037,"Four Seasons Hotel & Tower","Miami","Florida",25.75902939,-80.19177246,FALSE,TRUE,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,101,FALSE,TRUE,FALSE,FALSE,FALSE
"711","Miami","completed",232.8000031,"Southeast Financial Center","Miami","Florida",25.77223969,-80.18742371,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,116,FALSE,FALSE,FALSE,FALSE,FALSE
"143","Miami","completed",207,"Marquis","Miami","Florida",25.78519058,-80.18991852,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,206,FALSE,TRUE,FALSE,FALSE,FALSE
"164","Miami","completed",199.5,"Wells Fargo Tower","Miami","Florida",25.77131081,-80.18952942,FALSE,TRUE,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,235,FALSE,FALSE,FALSE,FALSE,FALSE
"171","Miami","completed",198,"900 Biscayne Bay","Miami","Florida",25.78331947,-80.19010925,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,243,FALSE,TRUE,FALSE,FALSE,FALSE
"199","Miami","completed",192.2799988,"Mint at Riverfront","Miami","Florida",25.76948929,-80.19515228,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,283,FALSE,TRUE,FALSE,FALSE,FALSE
"204","Miami","completed",192,"Infinity at Brickell","Miami","Florida",25.76107025,-80.19428253,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,289,FALSE,TRUE,FALSE,FALSE,FALSE
"209","Miami","completed",190.5,"Miami Tower","Miami","Florida",25.77227974,-80.19145966,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,295,FALSE,FALSE,FALSE,FALSE,FALSE
"221","Miami","completed",187.4499969,"Marina Blue","Miami","Florida",25.7823391,-80.18971252,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,308,FALSE,TRUE,FALSE,FALSE,FALSE
"227","Miami","completed",185.9299927,"Plaza on Brickell Tower I","Miami","Florida",25.76505089,-80.19010925,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,315,FALSE,TRUE,FALSE,FALSE,FALSE
"111","New York City","completed",541.2999878,"One World Trade Center","New York City","New York",40.71311188,-74.01335144,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE
"32","New York City","completed",425.5,"432 Park Avenue","New York City","New York",40.76155853,-73.97186279,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,TRUE,FALSE,FALSE,FALSE
"51","New York City","completed",381,"Empire State Building","New York City","New York",40.74842072,-73.98560333,FALSE,TRUE,1931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE
"61","New York City","completed",365.7999878,"Bank of America Tower","New York City","New York",40.75537872,-73.98435211,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,FALSE,FALSE
"11","New York City","completed",318.8999939,"Chrysler Building","New York City","New York",40.7516098,-73.97534943,FALSE,TRUE,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32,FALSE,FALSE,FALSE,FALSE,FALSE
"12","New York City","completed",318.769989,"New York Times Tower","New York City","New York",40.75608826,-73.99004364,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,33,FALSE,FALSE,FALSE,FALSE,FALSE
"16","New York City","completed",306.0700073,"One57","New York City","New York",40.76544189,-73.97907257,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,TRUE,FALSE,FALSE,FALSE
"20","New York City","completed",297.730011,"4 World Trade Center","New York City","New York",40.71031952,-74.01217651,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE
"23","New York City","completed",290.1700134,"70 Pine","New York City","New York",40.70634079,-74.00766754,FALSE,TRUE,1932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE
"27","New York City","completed",282.5499878,"The Trump Building","New York City","New York",40.70692062,-74.00980377,FALSE,TRUE,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE
"211","Philadelphia","completed",296.730011,"Comcast Center","Philadelphia","Pennsylvania",39.95473862,-75.16847992,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE
"25","Philadelphia","completed",288.0400085,"One Liberty Place","Philadelphia","Pennsylvania",39.95256042,-75.1681366,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,53,FALSE,FALSE,FALSE,FALSE,FALSE
"43","Philadelphia","completed",258.4700012,"Two Liberty Place","Philadelphia","Pennsylvania",39.95169067,-75.16742706,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,78,FALSE,TRUE,FALSE,FALSE,FALSE
"54","Philadelphia","completed",241.4100037,"Mellon Bank Center","Philadelphia","Pennsylvania",39.95357895,-75.16954803,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,96,FALSE,FALSE,FALSE,FALSE,FALSE
"96","Philadelphia","completed",225.25,"Three Logan","Philadelphia","Pennsylvania",39.95534897,-75.16905975,FALSE,TRUE,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,FALSE,FALSE,FALSE,FALSE,FALSE
"470","Philadelphia","completed",157.8899994,"The Residences at the Ritz-Carlton","Philadelphia","Pennsylvania",39.95153046,-75.16500854,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,595,FALSE,TRUE,FALSE,FALSE,FALSE
"549","Philadelphia","completed",152.3999939,"1818 Market Street","Philadelphia","Pennsylvania",39.95294952,-75.1710434,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,680,FALSE,FALSE,FALSE,FALSE,FALSE
"554","Philadelphia","completed",151.8399963,"The St. James","Philadelphia","Pennsylvania",39.9477005,-75.15402222,FALSE,TRUE,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,688,FALSE,TRUE,FALSE,FALSE,FALSE
"581","Philadelphia","completed",149.9600067,"Loews Philadelphia Hotel","Philadelphia","Pennsylvania",39.95159912,-75.16015625,FALSE,TRUE,1932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,717,FALSE,FALSE,FALSE,FALSE,FALSE
"660","Philadelphia","completed",144.7799988,"The Murano","Philadelphia","Pennsylvania",39.95407104,-75.17543793,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,804,FALSE,TRUE,FALSE,FALSE,FALSE
"46","Pittsburgh","completed",256.3399963,"U.S. Steel Tower","Pittsburgh","Pennsylvania",40.44129181,-79.99463654,FALSE,TRUE,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,83,FALSE,FALSE,FALSE,FALSE,FALSE
"106","Pittsburgh","completed",221,"One Mellon Center","Pittsburgh","Pennsylvania",40.43978882,-79.9960022,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,157,FALSE,FALSE,FALSE,FALSE,FALSE
"190","Pittsburgh","completed",193.5500031,"One PPG Place","Pittsburgh","Pennsylvania",40.44002151,-80.00364685,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,273,FALSE,FALSE,FALSE,FALSE,FALSE
"284","Pittsburgh","completed",177.3999939,"Gulf Tower","Pittsburgh","Pennsylvania",40.44261932,-79.99514771,FALSE,TRUE,1932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,380,FALSE,FALSE,FALSE,FALSE,FALSE
"329","Pittsburgh","completed",172,"The Tower at PNC Plaza","Pittsburgh","Pennsylvania",40.44028091,-80.00022125,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,433,FALSE,FALSE,FALSE,FALSE,FALSE
"419","Pittsburgh","completed",163.0700073,"Cathedral of Learning","Pittsburgh","Pennsylvania",40.44430161,-79.95316315,FALSE,TRUE,1936,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,534,FALSE,FALSE,FALSE,FALSE,FALSE
"466","Pittsburgh","completed",158.5,"Three Mellon Center","Pittsburgh","Pennsylvania",40.44021988,-79.99746704,FALSE,TRUE,1951,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,588,FALSE,FALSE,FALSE,FALSE,FALSE
"500","Pittsburgh","completed",155.7599945,"K & L Gates Center","Pittsburgh","Pennsylvania",40.44200134,-79.99993896,FALSE,TRUE,1968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,630,FALSE,FALSE,FALSE,FALSE,FALSE
"608","Pittsburgh","completed",147.8300018,"Grant Building","Pittsburgh","Pennsylvania",40.4376297,-79.99739838,FALSE,TRUE,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,747,FALSE,FALSE,FALSE,FALSE,FALSE
"661","Pittsburgh","completed",144.7799988,"Koppers Building","Pittsburgh","Pennsylvania",40.44213104,-79.99543762,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,811,FALSE,FALSE,FALSE,FALSE,FALSE
"40","San Francisco","completed",260,"Transamerica Pyramid","San Francisco","California",37.79523849,-122.4027328,FALSE,TRUE,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,75,FALSE,FALSE,FALSE,FALSE,FALSE
"64","San Francisco","completed",237.4400024,"555 California Street","San Francisco","California",37.792099,-122.403801,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,108,FALSE,FALSE,FALSE,FALSE,FALSE
"128","San Francisco","completed",211.8399963,"345 California Center","San Francisco","California",37.79262924,-122.4004517,FALSE,TRUE,1986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,187,FALSE,FALSE,FALSE,FALSE,FALSE
"178","San Francisco","completed",196.6000061,"Millennium Tower","San Francisco","California",37.79037094,-122.3960724,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,254,FALSE,TRUE,FALSE,FALSE,FALSE
"236","San Francisco","completed",184.4100037,"One Rincon Hill South Tower","San Francisco","California",37.78580093,-122.3920975,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,324,FALSE,TRUE,FALSE,FALSE,FALSE
"251","San Francisco","completed",183,"101 California Street","San Francisco","California",37.79286957,-122.3978729,FALSE,TRUE,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,342,FALSE,FALSE,FALSE,FALSE,FALSE
"252","San Francisco","completed",183,"50 Fremont Center","San Francisco","California",37.79050827,-122.397171,FALSE,TRUE,1985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,343,FALSE,FALSE,FALSE,FALSE,FALSE
"312","San Francisco","completed",174.6499939,"Chevron Tower","San Francisco","California",37.78956985,-122.400322,FALSE,TRUE,1975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,410,FALSE,FALSE,FALSE,FALSE,FALSE
"318","San Francisco","completed",173.7400055,"Four Embarcadero Center","San Francisco","California",37.79539108,-122.3961182,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,419,FALSE,FALSE,FALSE,FALSE,FALSE
"320","San Francisco","completed",173.4299927,"One Embarcadero Center","San Francisco","California",37.79455948,-122.3995819,FALSE,TRUE,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,422,FALSE,FALSE,FALSE,FALSE,FALSE
"26","Seattle","completed",284.3800049,"Columbia Center","Seattle","Washington",47.60464096,-122.3305969,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE
"68","Seattle","completed",235.3099976,"1201 Third Avenue Tower","Seattle","Washington",47.60726929,-122.3360825,FALSE,TRUE,1988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,113,FALSE,FALSE,FALSE,FALSE,FALSE
"95","Seattle","completed",225.5599976,"Two Union Square","Seattle","Washington",47.6104393,-122.3319473,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,143,FALSE,FALSE,FALSE,FALSE,FALSE
"109","Seattle","completed",220.0700073,"Seattle Municipal Tower","Seattle","Washington",47.60523987,-122.3294067,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,162,FALSE,FALSE,FALSE,FALSE,FALSE
"203","Seattle","completed",192.0299988,"Safeco Plaza","Seattle","Washington",47.60622025,-122.3337631,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,286,FALSE,FALSE,FALSE,FALSE,FALSE
"231","Seattle","completed",184.8200073,"City Centre","Seattle","Washington",47.61059952,-122.3346634,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,320,FALSE,FALSE,FALSE,FALSE,FALSE
"237","Seattle","completed",184.4100037,"Space Needle","Seattle","Washington",47.62049866,-122.3492966,FALSE,TRUE,1962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,326,FALSE,FALSE,FALSE,FALSE,FALSE
"260","Seattle","completed",182.1799927,"Russell Investments Center","Seattle","Washington",47.60779953,-122.3381119,FALSE,TRUE,2006,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,354,FALSE,FALSE,FALSE,FALSE,FALSE
"309","Seattle","completed",174.9600067,"Wells Fargo Center","Seattle","Washington",47.60514069,-122.3339691,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,407,FALSE,FALSE,FALSE,FALSE,FALSE
"392","Seattle","completed",165.5099945,"Bank of America Fifth Avenue Plaza","Seattle","Washington",47.60589981,-122.3302383,FALSE,TRUE,1981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,504,FALSE,FALSE,FALSE,FALSE,FALSE
