#,Building Name,City,Country,Height (m),Completed,Use
423,Zesheng Twin Tower B,Chongqing ,China,207.7,2011,residential / retail
425,Paradise by the River A,Chongqing ,China,207,2005,residential / retail
425,Paradise by the River B,Chongqing ,China,207,2005,residential / retail
425,Paradise by the River C,Chongqing ,China,207,2007,residential / retail
428,Baiguan Plaza,Shangyu ,China,207,2012,hotel / office
429,"Doubletree by Hilton, Shanghai - Pudong",Shanghai ,China,207,2002,hotel
430,Hanjiang International Tower,Wuhan ,China,207,2014,office
431,GT Land Landmark Plaza North Tower,Guangzhou ,China,206.8,2014,office
432,Fuzhou Shenglong Financial Centre,Fuzhou ,China,206.6,2014,office
433,Chongqing Plaza T1,Chongqing ,China,206.5,2015,office / retail
434,Sorrento 6,Hong Kong ,China,206.1,2003,residential
435,LOHAS Park The Capitol Madrid,Hong Kong ,China,206,2009,residential
435,LOHAS Park The Capitol Milan,Hong Kong ,China,206,2009,residential
437,Bellagio Tower 1-5,Hong Kong ,China,206,2005,residential
438,Landmark,Shenzhen ,China,206,2007,office
439,Kempinski Hotel,Wuxi ,China,206,2007,hotel
440,Minyoun Financial Plaza,Chengdu ,China,206,2012,hotel / office
441,Golden Landmark,Shanghai ,China,206,2008,office
442,East Pacific Center Tower C,Shenzhen ,China,206,2010,office
442,Encore at Wynn Macau,Macau ,China,206,2010,hotel / casino
444,Citibank Plaza 1,Hong Kong ,China,205.5,1992,office
445,May House,Hong Kong ,China,205.5,2004,government
446,Tianjin Maoye Building,Tianjin ,China,205.3,2015,residential / hotel / office
447,Metro Town Tower 1,Hong Kong ,China,205,2006,residential
447,Metro Town Tower 2,Hong Kong ,China,205,2006,residential
449,Four Seasons Place,Hong Kong ,China,205,2005,residential / hotel
450,Jiahe Plaza,Dalian ,China,205,2013,residential
451,Nan Zheng Mansion,Shanghai ,China,205,1998,office
452,Wanyin International 2,Hangzhou ,China,205,2014,office
453,Zhongtian Exhibition City 1,Guiyang ,China,204.8,2015,office
453,Zhongtian Exhibition City 2,Guiyang ,China,204.8,2015,office
455,Cross Strait Exchange Center Phase 2 Tower A,Xiamen ,China,204.7,2014,office
455,Cross Strait Exchange Center Phase 2 Tower B,Xiamen ,China,204.7,2014,office
457,Hysan Place,Hong Kong ,China,204.1,2012,office / retail
458,"Chengdu Fantasia Meinian Plaza, Tower C",Chengdu ,China,204.1,2016,office
458,"Chengdu Fantasia Meinian Plaza, Tower D",Chengdu ,China,204.1,2016,office
460,New Century Plaza West Tower,Shenzhen ,China,204,2003,office
461,Sichuan Airlines Center,Chengdu ,China,204,2016,office
462,Lippo Plaza,Shanghai ,China,204,1998,office
463,Baihua Plaza,Foshan ,China,203.9,1996,office
464,Glory International Center,Chongqing ,China,203.8,2014,hotel / office
465,HSBC Tower,Shanghai ,China,203.4,1998,office
466,Pinnacle,Dalian ,China,203,2012,hotel / office
467,BM Plaza Office Tower,Shanghai ,China,203,2009,office
467,Zhonghuan International Plaza,Nanjing ,China,203,2008,hotel / office
469,Renaissance Hotel Tianjin,Tianjin ,China,203,2002,hotel
470,Golden Mansion Center,Tianjin ,China,203,2013,residential / office
471,Vanke Jinyu Central Tower 1,Fuzhou ,China,202.9,2015,residential
472,ASE Center R2,Chongqing ,China,202.8,2013,residential / retail
473,Eton Shenyang Center #5,Shenyang ,China,202.6,2016,residential
474,Century Plaza Tower 1,Liuzhou ,China,202.5,2013,residential
475,Shenzhen Venture Capital – Private Enterprise Tower,Shenzhen ,China,202.4,2016,office
476,Island Resort Towers 1 & 2,Hong Kong ,China,202.2,2001,residential
476,Island Resort Towers 3 & 5,Hong Kong ,China,202.2,2001,residential
476,Island Resort Towers 6 & 7,Hong Kong ,China,202.2,2001,residential
476,Island Resort Towers 8 & 9,Hong Kong ,China,202.2,2001,residential
480,Center Plaza,Guangzhou ,China,202.1,2004,hotel / office
481,Lianfa Building,Nanchang ,China,202,2011,office
482,AVIC Plaza,Xiamen ,China,202,2015,office
482,Zijin Mining Plaza,Xiamen ,China,202,2015,office
484,Jinan Center Financial City A3-5,Jinan ,China,202,2016,office
485,Chang Hang Building,Wuhan ,China,202,2001,office
486,Huijin International Plaza,Guiyang ,China,202,2016,office / retail
487,China Online Centre,Hong Kong ,China,201.3,2000,office
488,Hongyun Building Tower A,Shenyang ,China,201.2,2016,office
489,Guotong Building,Shenzhen ,China,201,1997,office
490,Nanfang International Mansion,Guangzhou ,China,201,1998,hotel / office
491,Futian Technology Plaza Tower 1,Shenzhen ,China,201,2013,office / retail
492,Innovation & Entrepenuership Tower,Harbin ,China,201,2013,office
493,201 Tower,Guiyang ,China,201,2011,office
493,Huarun Tower,Chengdu ,China,201,2012,office
493,Yuxi Mining Building,Yuxi ,China,201,2013,office
496,Yuanyang Building,Dalian ,China,200.8,2000,hotel
497,Jinzhonghuan International Business Building,Shenzhen ,China,200.5,2006,hotel / office
498,Guangdong International Building,Guangzhou ,China,200.3,1990,hotel / office
499,Provincial Cultural Center Building 2,Jinan ,China,200.2,2014,office
500,LOHAS Park Le Prestige Tower A,Hong Kong ,China,200,2010,residential
500,LOHAS Park The Capitol Florence,Hong Kong ,China,200,2009,residential
502,Dicara Gold Tower - Hilton Hotel,Hangzhou ,China,200,2014,hotel
503,Vientiane Golden Bay Plaza 4,Zhanjiang ,China,200,2011,hotel
504,Jiangsu Telecommunication Limited Company Multiple-Use Building,Nanjing ,China,200,2008,office
505,Pinnacle One,Chengdu ,China,200,2015,office
505,Qingxiu Wanda Plaza Office Tower 1,Nanning ,China,200,2015,office
505,Qingxiu Wanda Plaza Office Tower 2,Nanning ,China,200,2015,office
505,Qingxiu Wanda Plaza Office Tower 3,Nanning ,China,200,2015,office
505,R&F Center Tower 1,Tianjin ,China,200,2014,office
505,R&F Center Tower 2,Tianjin ,China,200,2014,residential
511,China Oceanwide International Center Tower 1,Wuhan ,China,200,2016,office
511,Nanjing Financial City Tower 2,Nanjing ,China,200,2016,office
511,Nanjing Financial City Tower 6,Nanjing ,China,200,2016,office
514,Hainan Tower 1,Haikou ,China,200,2015,office
514,Jiangmen Wanda Plaza A,Jiangmen ,China,200,2014,office
514,Jiangmen Wanda Plaza B,Jiangmen ,China,200,2014,office
514,Mincheng Center Hotel,Fuzhou ,China,200,2016,hotel
514,Wangjing SOHO T3,Beijing ,China,200,2014,office
519,Centralcon Group Tower,Shenzhen ,China,200,2016,office
519,Hunan International Finance Building,Changsha ,China,200,1998,office
519,Jinshui Wanda Center Office Tower,Zhengzhou ,China,200,2016,office
519,Twin Rivers International Office Tower A,Chengdu ,China,200,2015,office
523,Phoenix International Book City East Tower,Suzhou ,China,200,2013,office
523,Shenzhen Kerry Centre II,Shenzhen ,China,200,2012,office
523,Yatai Fortune Center,Changzhou ,China,200,2012,residential / office
526,Palm Springs International Center Tower 1,Chengdu ,China,200,2013,office
526,Wanyin International 3,Hangzhou ,China,200,2014,office
528,Central Spring,Nanchang ,China,200,2015,office
528,Golf Hotel,Nantong ,China,200,2014,hotel / office
528,Zhengzhou Resources Center,Zhengzhou ,China,200,2014,office
531,Binhai Cathay Tower,Tianjin ,China,200,2014,office
532,Suning Electric Plaza,Nanjing ,China,200,2016,office
533,Shanghai World Plaza,Shanghai ,China,199.9,1997,office
534,Guangzhou Greenland Baiyun Center,Guangzhou ,China,199.9,2014,office
535,Yuda World Trade Center,Zhengzhou ,China,199.7,1997,hotel / office
536,Dolton Hotel,Changsha ,China,199.6,1998,hotel
537,Walton Heights,Shenzhen ,China,199,2005,hotel / office
538,Fortune Heights,Beijing ,China,199,2008,residential
539,Oriental Financial Center,Shanghai ,China,199,2014,office
540,Xuzhou TV Tower,Xuzhou ,China,199,1990,telecommunications / observation
541,Conrad Hong Kong,Hong Kong ,China,198.9,1990,hotel / residential
542,Bund Center,Shanghai ,China,198.9,2002,office
543,Metro Plaza I,Guangzhou ,China,198.8,1996,office
544,Suning Plaza,Shijiazhuang ,China,198.8,2013,office
545,The Canton Fair Westin Hotel,Guangzhou ,China,198.8,2011,hotel / office
546,Queensway Government Office Building,Hong Kong ,China,198.7,1985,office
547,Kaisa Center Tower A,Shenyang ,China,198.5,2016,office
548,Bellagio Tower 6-9,Hong Kong ,China,198,2002,residential
549,Shangdong Hanyu Yayuan Apartments,Guangzhou ,China,198,2016,residential
550,9 Donghai Lu Tower 1,Qingdao ,China,198,2008,residential
550,9 Donghai Lu Tower 2,Qingdao ,China,198,2008,residential
552,Hainan Tianyi International Building,Haikou ,China,198,2008,office
552,Kempinski Hotel Xiamen,Xiamen ,China,198,2011,hotel
554,R&F International Center,Huizhou ,China,198,2011,hotel / office
555,Chengdu International Finance Square Tower 4,Chengdu ,China,198,2015,residential
556,International Commerce Square,Suzhou ,China,198,2012,office
557,Heyday Plaza A,Chongqing ,China,198,2005,office
557,International Finance Place,Guangzhou ,China,198,2007,office
559,7 Financial Town,Chongqing ,China,197.9,2016,office
560,Wanda East Port Tower 3,Dalian ,China,197.8,2012,residential
561,Jing An Kerry Centre Tower 3,Shanghai ,China,197.8,2013,office
562,BEA Financial Tower,Shanghai ,China,197.7,2009,office
563,Hi-Tech International Business Centre Digital Building,Xi’an ,China,197.4,2003,office
564,The Merton 1,Hong Kong ,China,197,2005,residential
565,Wenxin United Press Building,Shanghai ,China,197,1999,office
566,Sincere Financial Center Tower A,Chongqing ,China,196.9,2015,office
566,Sincere Financial Center Tower B,Chongqing ,China,196.9,2015,office
568,Wharf Cable Tower,Hong Kong ,China,196.6,1993,office
569,Century Emperor South,Chongqing ,China,196.2,2009,office
570,Walton Plaza,Shanghai ,China,196,2004,office
571,Lan Sheng Building,Shanghai ,China,196,1997,office
572,China Insurance Mansion,Shanghai ,China,196,1999,office
573,Aigburth,Hong Kong ,China,195.9,1999,residential
574,Fujian Power Dispatching and Communication Building,Fuzhou ,China,195.6,2006,office
575,Grand Hyatt Dalian,Dalian ,China,195.4,2014,residential / hotel
576,United Plaza A,Shenzhen ,China,195,1998,office
577,Vision City Tower 2,Hong Kong ,China,195,2007,residential
577,Vision City Tower 3,Hong Kong ,China,195,2007,residential
577,Vision City Tower 5,Hong Kong ,China,195,2007,residential
580,Aoti Wanda Plaza Residential A,Shenyang ,China,195,2013,residential
580,Aoti Wanda Plaza Residential B,Shenyang ,China,195,2013,residential
582,Huali International Mansion,Nanjing ,China,195,2008,office
583,Lerthai Center 3,Shijiazhuang ,China,195,2013,residential / hotel
583,Teem Plaza East Tower,Guangzhou ,China,195,2006,office
585,Yanlord International Apartments Tower B,Nanjing ,China,195,2006,multiple
586,Great China International Exchange Square,Shenzhen ,China,195,2010,office
586,River International A,Chongqing ,China,195,2010,office / retail
586,River International B,Chongqing ,China,195,2010,hotel / residential / retail
589,Times Square Tower D,Chongqing ,China,195,2004,office
590,Wanda East Port Tower 4,Dalian ,China,194.7,2012,residential
591,Grand Hyatt Shenzhen,Shenzhen ,China,194.7,2009,hotel
592,Evergrande Huazhi Office Tower,Chengdu ,China,194.4,2015,office
593,Guangzhou Electric Power Building,Guangzhou ,China,194,2002,office
594,"NatWest Tower, Times Square",Hong Kong ,China,193.9,1993,office / retail
595,ASE Center R1,Chongqing ,China,193.8,2010,residential / retail
596,Binjiang Global Center One,Nanchang ,China,193.5,2013,
597,Noble Tower,Shenzhen ,China,193.2,2005,office
598,Manhattan Hill 1-2,Hong Kong ,China,193,2007,residential
599,Jinmao Xianchang,Tianjin ,China,193,2008,residential
600,"Rongchao Tower, A",Shenzhen ,China,193,2008,office
600,Shenyang Fortune Center 2,Shenyang ,China,193,2015,office
602,CITIC Square,Shanghai ,China,193,2000,office
603,Vanbo Plaza South Tower,Baoding ,China,192,2015,hotel / office
603,Vision City Tower 1,Hong Kong ,China,192,2007,residential
605,Victory Garden Block C,Guangzhou ,China,192,2004,residential
606,Aiqun Huijing Wan Tower A,Guangzhou ,China,192,2013,residential
606,Aiqun Huijing Wan Tower B,Guangzhou ,China,192,2013,residential
608,Central International Plaza,Nanjing ,China,192,2007,office
609,International Shipping Tower,Dalian ,China,192,2013,office
610,Fortune Center,Xiamen ,China,192,2011,office
611,Yunchen Centre,Chongqing ,China,192,2016,office
612,Shimao Riviera Garden 7,Shanghai ,China,191.9,2006,residential
612,Shimao Riviera Garden 8,Shanghai ,China,191.9,2003,residential
614,Pangu Plaza Building A,Beijing ,China,191.7,2008,office
615,39 Conduit Road,Hong Kong ,China,191.6,2009,residential
616,Wanda East Port Tower 5,Dalian ,China,191.5,2012,residential
617,Banyan Garden 2,Hong Kong ,China,191.4,2003,residential
617,Banyan Garden 6,Hong Kong ,China,191.4,2003,residential
617,Banyan Garden 7,Hong Kong ,China,191.4,2003,residential
620,Kaisa Center Tower B,Shenyang ,China,191.3,2016,residential
620,Kaisa Center Tower C,Shenyang ,China,191.3,2016,residential
622,Metropolitan Heights Tower 1,Tianjin ,China,191,2013,residential
623,Huaxia Financial Square Tower A,Shanghai ,China,191,2003,office
623,Huaxia Financial Square Tower B,Shanghai ,China,191,2005,office
625,Shenzhen Futian Shangri La,Shenzhen ,China,191,2008,hotel
626,Bercy Plaza I,Guangzhou ,China,190.8,2007,office
626,Bercy Plaza II,Guangzhou ,China,190.8,2007,office
628,Huayuan Center Tower 1A,Changsha ,China,190.8,2015,residential
629,Evergrande Huazhi Residential Tower 1,Chengdu ,China,190.7,2015,residential
629,Evergrande Huazhi Residential Tower 2,Chengdu ,China,190.7,2015,residential
631,China Construction Bank,Xiamen ,China,190.6,2003,office
632,Yantai Shimao No. 2,Yantai ,China,190,2011,residential
633,Baia de Praia Grande,Macau ,China,190,2009,residential
634,One Shenzhen Bay Tower 5,Shenzhen ,China,190,2015,residential
635,Hailrun Square,Chengdu ,China,190,2010,office
636,Galaxy International Plaza,Nanjing ,China,190,2005,hotel / office
637,Pujiang International Finance Plaza,Shanghai ,China,190,2014,office
638,Lujiazui Century Tower 1,Shanghai ,China,190,2014,office
639,Dalian Sightseeing Tower,Dalian ,China,190,1987,telecommunications / observation
639,Wanxiang City Tower 3,Hangzhou ,China,190,2014,residential
641,Huayuan Center Tower 6,Changsha ,China,189.9,2016,residential
642,Agile Corporation Headquarters Tower,Guangzhou ,China,189.7,2014,office
643,Empire Capital Square Tower B,Chongqing ,China,189.2,2004,residential / office
644,The Merton 2,Hong Kong ,China,189,2005,residential
645,Wenzhou Zhixin Plaza Residential Tower,Wenzhou ,China,189,2016,residential
646,Park Place,Shanghai ,China,189,2008,office
647,Cathay Pacific Plaza 1,Ordos ,China,189,2014,office
647,Cathay Pacific Plaza 2,Ordos ,China,189,2014,office
649,The Centrium,Hong Kong ,China,188.9,2001,office
650,Guangzhou Marriott Hotel Tianhe,Guangzhou ,China,188.8,2004,hotel
651,New Era Plaza,Shenzhen ,China,188.7,1997,office
652,Wuhan Starry Winking Residential Tower 4,Wuhan ,China,188.1,2016,residential
653,Wuhan Starry Winking Residential Tower 8,Wuhan ,China,188,2015,residential
654,Metro Town Tower 3,Hong Kong ,China,188,2006,residential
654,Metro Town Tower 5,Hong Kong ,China,188,2006,residential
656,Exchange Square #1,Hong Kong ,China,188,1985,office
656,Exchange Square #2,Hong Kong ,China,188,1985,office
658,Pearl International Business Center,Jinan ,China,188,2004,hotel / office
659,Chengdu International Finance Square Tower 3,Chengdu ,China,188,2015,hotel
659,HNA Mingguang Hotel,Haikou ,China,188,2009,hotel
661,Golden Crown Tower,Tianjin ,China,188,2000,office / hotel
662,The Centrepointe,Guangzhou ,China,188,2008,residential / office
663,Northeast Electric Power Mansion,Shenyang ,China,188,1997,office
664,Oxford House Time Warner,Hong Kong ,China,188,1999,office
665,Jiangyin Howard Johnson International Apartment,Jiangyin ,China,188,2012,residential / hotel
666,Bao'an Tower,Shanghai ,China,188,1997,office / hotel
666,Huaneng Union Tower,Shanghai ,China,188,1997,office
666,Ningbo Fortune Center,Ningbo ,China,188,2014,office
666,Ramada Plaza Pudong,Shanghai ,China,188,2001,hotel / office
670,Zhe Jiang Fortune Financial Center - Tower 2,Hangzhou ,China,188,2011,office
671,Huacheng Mansion,Hangzhou ,China,188,2007,office
672,ABK Times Square Tower,Urumqi ,China,187.8,2011,hotel / office
673,Moi Center Tower B,Shenyang ,China,187.8,2014,residential
674,Gold Peak Centre B,Chongqing ,China,187.8,2015,residential / residential / hotel / office
675,3 Financial Town T2,Chongqing ,China,187.8,2015,office
676,Vanke Jinyu Central Tower 2,Fuzhou ,China,187.6,2015,residential
677,Northeast Media Culture Plaza,Shenyang ,China,187.4,2011,office
678,9 Queen's Road Central,Hong Kong ,China,187.3,1991,office
679,China Shine Plaza,Guangzhou ,China,187,2006,office
679,Millennium City 5,Hong Kong ,China,187,2004,office
681,Landmark East Tower 1,Hong Kong ,China,187,2008,office
681,Landmark East Tower 2,Hong Kong ,China,187,2008,hotel / office
683,Standard Chartered Bank,Hong Kong ,China,187,1990,office
684,Shanghai Futures Tower,Shanghai ,China,187,1998,office
685,Zibo Huijin Building,Zibo ,China,187,2013,office
686,Entertainment Building,Hong Kong ,China,186.5,1993,office
687,Manhattan Hill 3,Hong Kong ,China,186.4,2007,residential
687,Manhattan Hill 5,Hong Kong ,China,186.4,2007,residential
687,Manhattan Hill 6,Hong Kong ,China,186.4,2007,residential
690,#1 Zhujiang Road Plaza,Nanjing ,China,186.2,2007,office / hotel / retail
691,Sofitel Jinan Silver Plaza,Jinan ,China,186,1999,hotel
692,Lippo Tower,Hong Kong ,China,186,1988,office
692,Wuhan Plaza Office Tower,Wuhan ,China,186,1997,office / retail
694,Dragon Building,Kunming ,China,186,2013,office
694,Summer Palace Tower B,Shenyang ,China,186,2015,hotel
696,Xiqi International Hotel,Nanchang ,China,186,2006,hotel / office
697,Beijing Yintai Centre - PICC Office Tower,Beijing ,China,186,2008,office
697,Beijing Yintai Centre - Yintai Office Tower,Beijing ,China,186,2008,office
699,Shanghai China Merchants Plaza Office Building,Shanghai ,China,186,1998,office
700,China Merchants Tower,Shanghai ,China,186,1995,office
701,Riverview Plaza A3,Wuhan ,China,186,2016,office
702,Tongfang Times Square Tower A,Shenyang ,China,185.8,2016,office
702,Tongfang Times Square Tower B,Shenyang ,China,185.8,2016,office
704,COFCO Tianjin Joy City Office Tower,Tianjin ,China,185.6,2015,office
705,The Westpoint,Hong Kong ,China,185.6,1999,office
706,Gold Peak Centre A,Chongqing ,China,185.5,2015,office / retail
707,The Praia Block 1,Macau ,China,185,2008,residential
707,The Praia Block 2,Macau ,China,185,2008,residential
707,The Praia Block 3,Macau ,China,185,2008,residential
707,The Praia Block 4,Macau ,China,185,2008,residential
711,Manhattan Heights,Hong Kong ,China,185,2000,residential
712,Tianjin Centre West Tower,Tianjin ,China,185,2009,hotel / office
713,Hongji Commercial Centre 2,Tianjin ,China,185,1999,office
713,Nanjing Yilai International Plaza,Nanjing ,China,185,2004,office
715,Maoye World Tower A,Chengdu ,China,185,2014,office
716,Excellence Century Plaza Tower 3,Shenzhen ,China,185,2010,office
717,Twin Rivers International Office Tower B,Chengdu ,China,185,2015,office
718,Binhai Trade Tower,Tianjin ,China,185,2015,office
719,Sino Plaza,Hong Kong ,China,185,1992,office
720,"Aurora Plaza, Pudong",Shanghai ,China,185,2003,office
721,PUFA Tower,Shanghai ,China,185,2000,office
722,AIA Central,Hong Kong ,China,185,2005,office
722,Jiangsu Power Co. Headquarters,Nanjing ,China,185,2004,office
724,Hunan Hydro Department,Changsha ,China,185,1998,office
725,Vantone Center,Tianjin ,China,185,2016,office
726,Festival City III Tower 1,Hong Kong ,China,184.7,2011,residential
726,Festival City III Tower 2,Hong Kong ,China,184.7,2011,residential
726,Festival City III Tower 3,Hong Kong ,China,184.7,2011,residential
726,Festival City III Tower 5,Hong Kong ,China,184.7,2011,residential
730,Ying Li International Plaza T2,Chongqing ,China,184.4,2015,office / retail
731,Yantai Shimao No. 3,Yantai ,China,184,2011,residential
732,Nison Plaza,Suzhou ,China,184,2013,office
733,King's Plaza Tower B,Chongqing ,China,184,2002,office
734,1 Financial Town T2,Chongqing ,China,183.9,2015,office
735,Ocean Pointe,Hong Kong ,China,183.7,2001,residential
736,Shenzhen Development Bank,Shenzhen ,China,183.6,1996,office
737,Cadogan,Hong Kong ,China,183.5,2014,residential
738,Capital Mansion,Beijing ,China,183,1989,residential / office
739,Vision City Tower 6,Hong Kong ,China,183,2007,residential
739,Wuxi Suning Plaza 2,Wuxi ,China,183,2014,residential
741,Towercrest International Plaza,Shenyang ,China,183,2003,hotel / retail
742,Tsingdao Center Tower C,Qingdao ,China,183,2014,residential
743,Taxation Bureau Building,Shenzhen ,China,182.8,2001,office
744,Banyan Garden 5,Hong Kong ,China,182.7,2003,residential
745,Post and Communications Network Center,Tianjin ,China,182.6,1997,office
746,Branksome Crest,Hong Kong ,China,182,2003,residential
746,Luxury Mountainview,Dalian ,China,182,2010,residential
748,Shenzhen International Science and Technology Building,Shenzhen ,China,182,1997,office
749,Nanjing New World Center Tower A,Nanjing ,China,182,2003,office
749,Nanjing New World Center Tower B,Nanjing ,China,182,2003,residential
751,Three Pacific Place,Hong Kong ,China,182,2004,office
752,Suning Ruicheng Phase 1 E07 #1,Nanjing ,China,182,2015,hotel / office
753,Sky Capital,Nanjing ,China,182,2006,residential
754,Suning Ruicheng Phase 1 E08 #1,Nanjing ,China,182,2015,office
755,R&F Ritz-Carlton Hotel,Guangzhou ,China,181.5,2007,hotel
756,2 Financial Town T2,Chongqing ,China,181.3,2014,office
757,Convention Plaza Office Tower,Hong Kong ,China,181.3,1990,office
758,Electronics Science & Technology Building,Shenzhen ,China,181,2000,office
759,Baidu International Building East Tower,Shenzhen ,China,181,2015,office
759,Ciro's Plaza,Shanghai ,China,181,2002,office
761,Liberte 1,Hong Kong ,China,180.9,2003,residential
761,Liberte 2,Hong Kong ,China,180.9,2003,residential
761,Liberte 3,Hong Kong ,China,180.9,2003,residential
764,Eton Shenyang Center #4,Shenyang ,China,180.8,2016,residential
765,Immigration Tower,Hong Kong ,China,180.8,1990,office
765,Revenue Tower,Hong Kong ,China,180.8,1990,office
767,AIA Tower,Hong Kong ,China,180.3,1998,office
768,Huayuan Center Tower 5,Changsha ,China,180.3,2016,residential
769,Liberte 5,Hong Kong ,China,180.2,2003,residential
769,Liberte 6,Hong Kong ,China,180.2,2003,residential
771,8 Corporate Avenue,Chongqing ,China,180.2,2014,office
772,Shinmay Union Square I,Shanghai ,China,180.1,2005,residential / office
772,Shinmay Union Square II,Shanghai ,China,180.1,2005,hotel / office
774,Royal Bay Tower 10,Chengdu ,China,180,2015,residential
774,Royal Bay Tower 12,Chengdu ,China,180,2015,residential
774,Royal Bay Tower 13,Chengdu ,China,180,2015,residential
777,Guangdong Asia International Hotel,Guangzhou ,China,180,2001,hotel
777,The Merton 3,Hong Kong ,China,180,2005,residential
779,Friendship Times Square Tower B,Shenyang ,China,180,2016,residential
780,The Manhattan Office Tower,Dalian ,China,180,2002,office
781,Asian Packaging Center Mansion East Tower,Hangzhou ,China,180,2013,office
781,Green View Apartments R5,Shenzhen ,China,180,2016,residential
781,SOHO Apartment Building No.3,Zhanjiang ,China,180,2016,residential
781,SOHO Apartment Building No.4,Zhanjiang ,China,180,2016,residential
781,SOHO Apartment Building No.5,Zhanjiang ,China,180,2016,residential
781,SOHO Apartment Building No.6,Zhanjiang ,China,180,2016,residential
787,Puxi Wanda Plaza A,Quanzhou ,China,180,2012,hotel / office
787,Puxi Wanda Plaza B,Quanzhou ,China,180,2012,office
789,ZhongHang Building 1,Nanchang ,China,180,2011,office
790,Great Wall Building,Shanghai ,China,180,2009,office
791,Century Galaxy,Chongqing ,China,180,2004,office
791,Kunming Century Square,Kunming ,China,180,2008,residential / hotel / office
791,Pudong Shangri-La Hotel Extension,Shanghai ,China,180,2005,residential / hotel
791,Taiyuan Center,Shenyang ,China,180,2013,office
795,Asian Packaging Center Mansion West Tower,Hangzhou ,China,180,2013,office
796,Citigroup Tower,Shanghai ,China,180,2004,office
797,Poly Tower V,Guangzhou ,China,180,2011,office
797,The Bund Finance Center North,Shanghai ,China,180,2016,office
797,The Bund Finance Center South,Shanghai ,China,180,2016,office
797,Yuecai Building,Guangzhou ,China,180,2008,office
801,Bank of China Anhui Branch,Hefei ,China,180,2015,office
801,Yuexiu City Plaza South Tower,Guangzhou ,China,180,2006,residential
803,Fengxian SME Building,Shanghai ,China,180,2016,office
804,Futian Technology Plaza Tower 2,Shenzhen ,China,180,2013,office
805,Intercontinental Hotel Wuxi,Wuxi ,China,180,2011,hotel
805,Nanchang Bank Financial Services Centre,Nanchang ,China,180,2013,office
805,Shaanxi Telecom & Network Tower,Xi’an ,China,180,2004,office
808,Shanghai Property Information Exchange Center,Shanghai ,China,180,2000,office
809,Hubei Power Bureau Building,Wuhan ,China,180,1997,office
809,Jin Wan Plaza 3,Tianjin ,China,180,2013,office
809,Shenzhen Modern International Tower,Shenzhen ,China,180,2008,office
812,Mirae Asset Tower,Shanghai ,China,180,2008,office
813,Shanghai Securities Exchange Building,Shanghai ,China,180,1997,office
814,Wanxiang City Tower 4,Hangzhou ,China,180,2014,residential
815,Lerthai Center 1,Shijiazhuang ,China,179.9,2013,office
816,Chengdu Renheng Fraser Suites,Chengdu ,China,179.9,2010,office
817,Banyan Garden 3,Hong Kong ,China,179.8,2003,residential
818,People's Daily New Headquarters,Beijing ,China,179.7,2015,office
819,RenFun Business Mansion,Guangzhou ,China,179.6,2012,office
820,The Riverside 1,Guangzhou ,China,179.4,2009,residential
820,The Riverside 2,Guangzhou ,China,179.4,2009,residential
822,LinJiang Mingting,Ningbo ,China,179.2,2004,residential
823,Metropolitan Heights Tower 2,Tianjin ,China,179,2013,residential
824,Xinhua Daily Mansion,Nanjing ,China,179,2003,office
825,Zhongshang Plaza,Wuhan ,China,179,1998,office
826,Offices at Kerry Parkside,Shanghai ,China,179,2011,office
827,Fairmont Hotel,Chengdu ,China,179,2016,serviced apartments / hotel
828,Jiangsu News Center,Nanjing ,China,178.9,2003,office
829,UpperHills North Tower 1B,Shenzhen ,China,178.9,2015,residential
829,UpperHills North Tower 2B,Shenzhen ,China,178.9,2015,residential
831,Hong Kong and Shanghai Banking Corporation Headquarters,Hong Kong ,China,178.8,1985,office
832,Jardine House,Hong Kong ,China,178.5,1973,office
833,Anhui Telecommunications Dispatching Center,Hefei ,China,178.4,1999,office
834,Tianzijie International Condo,Chengdu ,China,178,2012,residential
835,Hong Kong Macau Centre,Guangzhou ,China,178,1996,multiple
836,China Resources Building,Hong Kong ,China,178,1983,office
837,Huayuan Center Tower 1B,Changsha ,China,178,2015,residential
838,JW Marriott Hotel Chongqing,Chongqing ,China,178,1999,hotel
839,Zhongmin Building,Xiamen ,China,178,2003,office
840,Harbour Ring Plaza,Shanghai ,China,178,1998,office
841,CC Tower,Guangzhou ,China,178,2005,office
842,Jin Sha Gang Wan 12#,Chongqing ,China,177.8,2006,residential
842,Jin Sha Gang Wan 13#,Chongqing ,China,177.8,2006,residential
844,Shimao Wulihe City 1#,Shenyang ,China,177.6,2011,residential
844,Shimao Wulihe City 4#,Shenyang ,China,177.6,2012,residential
844,Shimao Wulihe City 8#,Shenyang ,China,177.6,2014,residential
844,Shimao Wulihe City 9#,Shenyang ,China,177.6,2014,residential
848,Guangxi International Trade Center Main Tower,Nanning ,China,177.2,2008,office
849,Grand Waterfront 1-5,Hong Kong ,China,177,2007,residential
849,Grand Waterfront 6,Hong Kong ,China,177,2007,residential
851,The Oakhill,Hong Kong ,China,177,2011,residential
852,Azura,Hong Kong ,China,177,2012,residential
853,New Century Plaza East Tower,Shenzhen ,China,177,2003,office / hotel
854,China Mobile Building,Shenzhen ,China,177,2015,office
854,Hong Kong Prosperity Tower,Shanghai ,China,177,2010,office
856,CMBC Tower,Shanghai ,China,177,2008,office
857,Canton Fair Command Center,Guangzhou ,China,176.8,2009,office
