current,height,name,city,state,latitude,longitude,abandoned,is completed,completed.year,air traffic control tower,belltower,bridge,casino,commercial,education,exhibition,floors above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced apartments,telecommunications
completed,97.01999664,London Guarantee Building,Chicago,Illinois,41.88798904,-87.62493896,FALSE,TRUE,1923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1860,FALSE,FALSE,FALSE,FALSE,FALSE
completed,97.09999847,The Vermont West Tower,Los Angeles,California,34.06130981,-118.2909698,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1859,FALSE,TRUE,FALSE,FALSE,FALSE
completed,97.25,Sayan Condominium,Sunny Isles Beach,Florida,25.92684937,-80.12167358,FALSE,TRUE,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1858,FALSE,TRUE,FALSE,FALSE,FALSE
completed,97.5,Avalon Exeter,Boston,Massachusetts,42.34872055,-71.07946777,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1856,FALSE,TRUE,FALSE,FALSE,FALSE
completed,97.5,East Hampton,Jersey City,New Jersey,40.72763062,-74.0311203,FALSE,TRUE,1999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1855,FALSE,TRUE,FALSE,FALSE,FALSE
completed,97.5,519 8th Avenue,New York City,New York,40.75344086,-73.99291992,FALSE,TRUE,1927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1857,FALSE,FALSE,FALSE,FALSE,FALSE
completed,97.54000092,Westin Michigan Avenue,Chicago,Illinois,41.89941025,-87.62288666,FALSE,TRUE,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1851,FALSE,FALSE,FALSE,FALSE,FALSE
completed,97.54000092,Liberty Luxe,New York City,New York,40.71578979,-74.01481628,FALSE,TRUE,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1849,FALSE,TRUE,FALSE,FALSE,FALSE
completed,97.54000092,Kroger Building,Cincinnati,Ohio,39.10681152,-84.51390839,FALSE,TRUE,1954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1852,FALSE,FALSE,FALSE,FALSE,FALSE
completed,97.54000092,World Trade Center at City Creek,Salt Lake City,Utah,40.76895905,-111.8890915,FALSE,TRUE,1986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1853,FALSE,FALSE,TRUE,FALSE,FALSE
